crop_type,location_zone,soil_moisture,precipitation,avg_temperature,Image Path,credit_score,index_of_image,Yield_1,Yield_2,Yield_3,Loan_ID,Cultivation_2022,Production_2022,Cultivation_2023,Cultivation_2024,Production_2024,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Wheat,West,49.51,465.89,27.3,permanent_crop/PermanentCrop_314.jpg,786,241,2.804409719,4.919342449,2.93169119,Loan_242,394,888.8489218,439,495,576.3383071,Male,Yes,2,Not Graduate,No,7206,3864,351,60,1,Urban,Approved
Rice,East,46.52,142.23,34.12,permanent_crop/PermanentCrop_315.jpg,691,242,4.507210468,3.265028624,2.613226901,Loan_243,393,764.7921984,261,340,903.0029874,Male,No,1,Not Graduate,Yes,5433,9474,443,36,1,Semiurban,Approved
Barley,South,40.23,316.88,25.95,permanent_crop/PermanentCrop_316.jpg,837,243,2.770214912,4.537899967,4.090304033,Loan_244,451,676.7862599,427,373,566.422007,Male,Yes,3+,Not Graduate,Yes,2604,1565,160,12,0,Urban,Approved
Rice,East,34.78,361.71,17.59,permanent_crop/PermanentCrop_317.jpg,833,244,3.943124122,3.018625356,3.95810931,Loan_245,345,818.656436,266,409,614.6176439,Female,No,2,Graduate,No,11554,93,234,60,0,Rural,Approved
Barley,North,79.68,304.95,16.68,permanent_crop/PermanentCrop_318.jpg,730,245,2.354260786,3.575922431,2.799082388,Loan_246,192,621.8505068,257,104,967.3991689,Female,No,2,Not Graduate,Yes,8942,3239,404,120,1,Urban,Rejected
Rice,West,58.55,347.48,19.55,permanent_crop/PermanentCrop_319.jpg,668,246,1.448380364,4.284991279,1.262459659,Loan_247,350,509.7527655,391,122,681.6624705,Female,No,1,Graduate,Yes,2017,3995,135,60,0,Semiurban,Rejected
Cotton,West,48.99,215.97,34.12,permanent_crop/PermanentCrop_32.jpg,669,247,4.871716835,2.960181003,3.088827421,Loan_248,322,947.2449644,173,280,758.2188334,Male,Yes,1,Not Graduate,Yes,14458,3977,118,120,0,Rural,Rejected
Wheat,West,53.93,167.09,31.31,permanent_crop/PermanentCrop_320.jpg,651,248,1.510795318,1.877667312,2.842792529,Loan_249,211,815.5289726,326,100,968.1387013,Male,Yes,3+,Graduate,Yes,13957,6040,193,60,1,Urban,Rejected
Wheat,South,27.99,319.85,27.62,permanent_crop/PermanentCrop_321.jpg,805,249,3.982917582,4.356202046,1.633036887,Loan_250,419,862.5301979,117,266,917.2982647,Male,No,2,Graduate,No,13719,3538,149,12,1,Urban,Rejected
Wheat,West,34.23,248,30.03,permanent_crop/PermanentCrop_322.jpg,795,250,3.133999401,2.320069468,4.104082729,Loan_251,351,805.3509648,344,131,816.5987306,Female,Yes,3+,Not Graduate,No,12577,3752,426,36,0,Urban,Rejected
Wheat,East,57.9,275.81,23.45,permanent_crop/PermanentCrop_323.jpg,829,251,1.480831148,1.528330898,4.675534619,Loan_252,177,628.4652751,111,337,661.5142263,Male,No,0,Graduate,No,2585,6955,304,12,1,Urban,Rejected
Wheat,North,54.33,212.63,23.93,permanent_crop/PermanentCrop_324.jpg,650,252,4.088719474,1.54015301,1.429181738,Loan_253,130,982.6084527,291,257,758.5562201,Female,No,3+,Not Graduate,Yes,14312,3734,77,12,0,Rural,Rejected
Maize,South,41.25,365.68,24.19,permanent_crop/PermanentCrop_325.jpg,773,253,1.464330053,4.846492723,4.006885601,Loan_254,301,664.8250534,322,203,856.9085366,Female,No,0,Graduate,No,14073,8330,101,60,0,Urban,Rejected
Wheat,South,22.5,123.27,18.05,permanent_crop/PermanentCrop_326.jpg,678,254,4.921821921,1.699130371,3.687781783,Loan_255,389,899.8469651,238,137,627.6373972,Female,No,1,Graduate,Yes,4214,7582,336,60,0,Semiurban,Approved
Rice,East,68.58,482.33,31.38,permanent_crop/PermanentCrop_327.jpg,768,255,2.144316098,3.709082376,4.728717752,Loan_256,338,591.7948905,372,134,639.6361454,Male,No,3+,Not Graduate,No,5727,5194,153,240,0,Semiurban,Rejected
Rice,West,79.06,110.79,33.44,permanent_crop/PermanentCrop_328.jpg,701,256,4.969880468,4.947431054,2.861927729,Loan_257,487,940.262654,399,328,779.6019042,Female,Yes,0,Graduate,Yes,13280,5436,176,120,1,Urban,Rejected
Maize,North,33.75,472.58,27.84,permanent_crop/PermanentCrop_329.jpg,706,257,4.034686372,1.836143499,1.207025125,Loan_258,248,816.9229397,458,322,621.1380564,Male,No,2,Not Graduate,Yes,14642,9032,97,36,0,Urban,Approved
Cotton,South,24.86,146.73,29.99,permanent_crop/PermanentCrop_33.jpg,687,258,2.47171058,3.20219878,3.448875831,Loan_259,101,758.7715875,402,324,835.2100612,Female,No,0,Graduate,Yes,10527,3585,319,120,0,Semiurban,Rejected
Barley,South,47.31,353.89,17.07,permanent_crop/PermanentCrop_330.jpg,740,259,2.944125655,1.327608875,3.113335751,Loan_260,334,638.5245408,207,237,808.7938817,Male,No,1,Graduate,No,10405,2399,302,12,1,Semiurban,Rejected
Maize,East,31.16,159.95,33.98,permanent_crop/PermanentCrop_331.jpg,738,260,4.767060026,1.76071804,4.281446173,Loan_261,489,956.1725167,408,119,618.071491,Female,Yes,0,Not Graduate,No,9004,1962,341,240,1,Semiurban,Approved
Barley,North,35.86,120.83,26.7,permanent_crop/PermanentCrop_332.jpg,778,261,3.797633515,3.094553919,1.371694339,Loan_262,357,802.0787696,409,476,848.4927623,Male,No,3+,Graduate,Yes,6077,7972,407,36,1,Urban,Approved
Cotton,South,24.96,376.88,25.32,permanent_crop/PermanentCrop_333.jpg,713,262,1.918996076,2.694720821,4.582610677,Loan_263,103,886.2703985,438,171,860.8079049,Male,No,0,Graduate,No,5536,3428,350,240,0,Urban,Rejected
Wheat,East,77.38,203.78,21.42,permanent_crop/PermanentCrop_334.jpg,687,263,3.462268989,2.75324433,3.052676047,Loan_264,217,541.1477955,363,149,555.6448658,Male,No,0,Not Graduate,Yes,8621,2776,143,12,1,Urban,Rejected
Barley,North,53.37,497.31,21.15,permanent_crop/PermanentCrop_335.jpg,825,264,3.999387296,4.856125853,1.966525203,Loan_265,204,637.5117603,492,280,617.2382498,Female,No,1,Graduate,No,4094,8392,344,12,1,Urban,Approved
Maize,North,58.62,431.21,24.89,permanent_crop/PermanentCrop_336.jpg,804,265,4.578422247,1.60289557,2.980978395,Loan_266,468,687.871664,371,107,943.4009103,Female,No,2,Not Graduate,Yes,8489,6317,436,240,0,Rural,Approved
Barley,South,32.46,375.09,25.59,permanent_crop/PermanentCrop_337.jpg,808,266,4.792178122,1.309252968,4.370708416,Loan_267,294,930.4684036,229,473,873.4658431,Female,Yes,0,Not Graduate,Yes,3242,4458,96,12,0,Rural,Rejected
Barley,North,50.01,294.21,27.51,permanent_crop/PermanentCrop_338.jpg,835,267,2.637127875,3.89497838,2.078751843,Loan_268,343,809.3885912,137,121,580.1091171,Female,No,0,Graduate,Yes,9414,4089,172,60,0,Rural,Rejected
Barley,West,50.49,274.02,33.19,permanent_crop/PermanentCrop_339.jpg,674,268,1.849896578,2.614559668,2.654079076,Loan_269,426,965.7265722,263,208,527.9712406,Male,No,2,Not Graduate,Yes,5410,614,109,60,1,Semiurban,Approved
Rice,North,69.97,482.81,20.47,permanent_crop/PermanentCrop_34.jpg,777,269,3.977364806,1.926034109,3.539182521,Loan_270,396,802.7345111,153,474,705.4410962,Male,Yes,3+,Not Graduate,No,3197,2863,99,36,1,Urban,Approved
Rice,West,26.83,249.6,24.04,permanent_crop/PermanentCrop_340.jpg,814,270,2.235802219,3.787520607,3.454861986,Loan_271,462,831.5104725,161,143,939.7426659,Female,No,2,Graduate,No,12562,799,188,120,0,Rural,Approved
Barley,North,75.87,405.11,18.15,permanent_crop/PermanentCrop_341.jpg,763,271,4.273808078,4.768087593,4.917325828,Loan_272,314,871.0763413,182,275,506.4705628,Female,No,3+,Graduate,No,13515,8058,124,240,0,Semiurban,Approved
Maize,North,54.99,266.66,31.31,permanent_crop/PermanentCrop_342.jpg,728,272,1.233790736,1.26633122,3.211643643,Loan_273,340,880.1921445,206,287,612.6374083,Male,No,0,Not Graduate,Yes,8938,4798,495,12,0,Semiurban,Rejected
Wheat,West,44.92,169.15,22.83,permanent_crop/PermanentCrop_343.jpg,660,273,4.365922067,1.345123773,1.118631202,Loan_274,231,971.733414,193,280,590.6079866,Male,Yes,1,Graduate,No,12391,2773,136,60,0,Rural,Rejected
Barley,South,23.19,241.17,31.51,permanent_crop/PermanentCrop_344.jpg,661,274,1.030160406,1.301289212,1.459120956,Loan_275,491,623.71224,457,403,558.643896,Female,No,3+,Not Graduate,No,7509,337,425,12,1,Rural,Rejected
Barley,North,23.87,289.58,30.07,permanent_crop/PermanentCrop_345.jpg,737,275,2.86221651,4.45374212,1.446193484,Loan_276,375,503.4849726,140,499,932.6726137,Female,No,3+,Graduate,No,7726,94,318,240,1,Rural,Approved
Cotton,East,77.59,365.34,26.45,permanent_crop/PermanentCrop_346.jpg,824,276,1.831713653,4.601769042,2.155388582,Loan_277,417,513.9886776,125,314,916.2339023,Male,Yes,3+,Graduate,Yes,13336,931,275,120,1,Urban,Rejected
Barley,West,62.04,473.39,30.7,permanent_crop/PermanentCrop_347.jpg,720,277,2.68506917,4.109174357,2.114226712,Loan_278,107,683.6555882,274,228,648.506178,Male,Yes,0,Graduate,Yes,11784,3031,430,120,0,Urban,Rejected
Wheat,East,39.28,470.28,20.53,permanent_crop/PermanentCrop_348.jpg,752,278,1.576815268,2.414626148,1.518552928,Loan_279,295,721.8488032,358,398,668.2008168,Male,Yes,0,Not Graduate,Yes,9664,6924,325,120,1,Urban,Approved
Barley,South,31.16,368.14,20.73,permanent_crop/PermanentCrop_349.jpg,749,279,1.745510634,1.976155915,1.130189665,Loan_280,115,673.8902097,460,213,657.8322413,Female,No,2,Not Graduate,Yes,13012,2961,68,60,0,Urban,Rejected
Barley,South,48.87,105.27,22.06,permanent_crop/PermanentCrop_35.jpg,723,280,4.424161194,4.711758773,1.674616142,Loan_281,374,587.2182815,425,292,867.0077631,Male,No,2,Graduate,No,8693,2143,481,60,0,Rural,Approved
Barley,East,20.89,103.35,34.35,permanent_crop/PermanentCrop_350.jpg,849,281,4.866293751,4.316909587,4.82509195,Loan_282,322,859.1834821,370,393,721.4379257,Male,No,2,Graduate,No,2081,5208,441,36,1,Rural,Rejected
Barley,South,32.97,323.37,25.11,permanent_crop/PermanentCrop_351.jpg,735,282,1.05809924,2.12811706,2.585480034,Loan_283,352,578.5457746,203,148,822.3375005,Female,No,1,Not Graduate,No,4060,3780,187,120,1,Rural,Rejected
Wheat,West,45.16,228.9,28.07,permanent_crop/PermanentCrop_352.jpg,681,283,3.890986781,4.776837147,4.286660587,Loan_284,144,578.0418063,265,122,820.9526404,Female,No,1,Graduate,Yes,7609,2888,135,12,1,Semiurban,Approved
Barley,East,72.8,435.88,33.25,permanent_crop/PermanentCrop_353.jpg,791,284,3.215109696,3.096118658,2.882756811,Loan_285,454,853.4688765,339,466,663.9401851,Female,No,3+,Not Graduate,Yes,11807,5484,108,36,0,Semiurban,Approved
Barley,West,23.18,435.63,16.66,permanent_crop/PermanentCrop_354.jpg,698,285,1.208154944,2.41750957,4.989703223,Loan_286,342,789.72964,208,328,795.9558439,Male,No,2,Graduate,Yes,8828,6756,461,12,1,Semiurban,Rejected
Cotton,West,53.1,364.8,27.86,permanent_crop/PermanentCrop_355.jpg,709,286,2.594494396,4.161696641,2.219946759,Loan_287,212,633.3834274,401,398,958.3498164,Male,No,2,Not Graduate,No,13167,6381,432,36,0,Semiurban,Rejected
Wheat,East,53.98,479.62,27.66,permanent_crop/PermanentCrop_356.jpg,739,287,3.351711691,3.587648136,1.010864666,Loan_288,302,575.545743,485,310,770.4343214,Male,No,2,Graduate,No,11632,7593,400,120,1,Urban,Approved
Maize,East,40.84,204.45,28.21,permanent_crop/PermanentCrop_357.jpg,803,288,4.560549444,3.303655695,2.64166071,Loan_289,305,606.5100439,157,419,661.0522623,Female,Yes,1,Not Graduate,No,12298,449,435,240,1,Rural,Rejected
Rice,North,22.12,294,31.98,permanent_crop/PermanentCrop_358.jpg,672,289,1.840174834,4.666220552,3.94193181,Loan_290,212,813.9465334,373,363,982.1817514,Female,No,0,Graduate,No,3007,5488,248,12,0,Urban,Rejected
Wheat,East,49.68,441,24.8,permanent_crop/PermanentCrop_359.jpg,790,290,3.319345941,3.693604947,1.495083648,Loan_291,399,779.3538291,253,168,798.7938458,Male,No,3+,Graduate,Yes,2771,6153,460,60,1,Urban,Approved
Rice,North,57.19,118.07,16.09,permanent_crop/PermanentCrop_36.jpg,654,291,1.305804669,1.886467353,3.134924458,Loan_292,264,697.7352782,430,351,551.2504302,Female,Yes,0,Not Graduate,No,9477,49,205,60,1,Rural,Rejected
Rice,South,69.03,269.28,19.87,permanent_crop/PermanentCrop_360.jpg,833,292,4.407087029,3.163512452,3.445596361,Loan_293,266,708.499976,341,198,784.8421298,Female,No,1,Not Graduate,No,8003,8800,196,240,0,Semiurban,Rejected
Wheat,South,42.68,214.46,27.39,permanent_crop/PermanentCrop_361.jpg,721,293,4.227919961,1.534115979,2.090212875,Loan_294,158,508.317348,422,240,821.9825399,Female,Yes,0,Not Graduate,No,4165,5877,71,60,1,Semiurban,Approved
Wheat,North,40.9,457.6,23.32,permanent_crop/PermanentCrop_362.jpg,836,294,1.646765455,2.365708539,4.776668295,Loan_295,400,986.9850684,129,409,777.4792301,Male,No,1,Graduate,No,12101,3525,344,12,1,Semiurban,Approved
Maize,North,65.09,434.47,29.3,permanent_crop/PermanentCrop_363.jpg,674,295,4.624097718,2.001289734,1.79761268,Loan_296,459,604.3358181,264,478,632.6859458,Female,Yes,3+,Not Graduate,No,4088,6029,331,60,1,Rural,Rejected
Barley,West,39.1,185.3,25.69,permanent_crop/PermanentCrop_364.jpg,832,296,2.079236483,2.532319153,2.710415615,Loan_297,350,988.1318391,387,374,869.3864497,Male,No,3+,Not Graduate,No,3593,4785,424,60,1,Urban,Approved
Maize,East,25.47,350.35,20.79,permanent_crop/PermanentCrop_365.jpg,714,297,4.27940958,1.904746333,1.619551074,Loan_298,205,571.0622488,355,368,854.0001999,Male,Yes,2,Not Graduate,No,8354,9762,91,12,0,Urban,Rejected
Barley,East,30.16,338.4,22.73,permanent_crop/PermanentCrop_366.jpg,688,298,4.362324378,3.207161218,4.41596833,Loan_299,248,781.857558,484,102,578.9888832,Male,No,2,Not Graduate,No,2664,2064,54,12,1,Rural,Rejected
Barley,North,64.11,206.51,29.84,permanent_crop/PermanentCrop_367.jpg,698,299,3.422016555,1.635672039,4.816229268,Loan_300,106,834.034968,435,308,894.5841365,Female,No,2,Graduate,Yes,7396,4452,423,120,0,Urban,Rejected
Wheat,South,28.17,189.48,21.27,permanent_crop/PermanentCrop_368.jpg,818,300,2.719845976,3.703658497,1.216395237,Loan_301,292,807.6281079,435,306,828.0533697,Female,No,3+,Not Graduate,No,4740,222,278,60,1,Urban,Rejected
Rice,West,60.63,340.73,32.58,permanent_crop/PermanentCrop_369.jpg,718,301,2.722626144,4.263296781,3.914782407,Loan_302,380,758.2972354,459,265,838.0133553,Male,Yes,0,Not Graduate,No,8314,4101,389,120,1,Urban,Rejected
Maize,South,55.99,373.07,26.8,permanent_crop/PermanentCrop_37.jpg,733,302,4.058747764,3.928688495,4.971327483,Loan_303,126,909.5326601,248,295,985.1279295,Female,Yes,2,Not Graduate,No,6298,8700,117,12,0,Rural,Approved
Rice,North,69.32,170.15,27.65,permanent_crop/PermanentCrop_370.jpg,745,303,4.941330126,3.270661123,3.488785259,Loan_304,471,602.2764945,314,122,852.3680044,Female,No,1,Not Graduate,No,2712,4354,323,60,1,Semiurban,Approved
Barley,East,52.57,134.04,16.14,permanent_crop/PermanentCrop_371.jpg,780,304,2.589737116,3.065723406,1.497691213,Loan_305,229,691.9251809,110,471,797.2110801,Female,No,0,Graduate,Yes,11760,4617,423,240,0,Urban,Rejected
Cotton,East,69.5,389.23,22.5,permanent_crop/PermanentCrop_372.jpg,708,305,3.322277638,1.174122837,4.08768474,Loan_306,250,769.3984519,357,392,809.9616588,Male,No,1,Not Graduate,Yes,13953,6503,159,240,0,Urban,Rejected
Barley,South,58.18,123.47,23.13,permanent_crop/PermanentCrop_373.jpg,749,306,2.45216978,1.506032304,4.537259628,Loan_307,114,939.8023242,320,186,704.9957825,Female,Yes,1,Not Graduate,No,14991,2625,213,12,1,Semiurban,Approved
Rice,South,41.32,268.56,16.48,permanent_crop/PermanentCrop_374.jpg,760,307,4.748627631,1.054825827,2.900962653,Loan_308,124,848.9320248,159,452,581.9216213,Male,No,3+,Not Graduate,No,6981,4635,308,60,0,Urban,Rejected
Wheat,South,75.52,197.62,17.67,permanent_crop/PermanentCrop_375.jpg,684,308,1.781242378,4.325394575,1.45510146,Loan_309,337,765.0319488,386,384,951.8539841,Male,No,3+,Graduate,Yes,3695,7237,416,240,0,Semiurban,Approved
Barley,East,55.07,132.17,20.26,permanent_crop/PermanentCrop_376.jpg,708,309,2.65283863,3.458744757,3.474487362,Loan_310,279,743.157553,306,146,950.3542016,Female,No,2,Not Graduate,Yes,11299,208,199,240,0,Rural,Rejected
Maize,West,57.52,104.21,21,permanent_crop/PermanentCrop_377.jpg,727,310,3.649883976,2.815654855,2.606057957,Loan_311,328,829.1838525,169,133,736.8156284,Male,Yes,0,Graduate,Yes,12418,3986,189,60,0,Semiurban,Approved
Maize,South,38.9,278.99,21.6,permanent_crop/PermanentCrop_378.jpg,802,311,3.405531258,2.625832001,1.384172478,Loan_312,178,898.5330605,277,462,985.9643095,Male,Yes,0,Graduate,No,13291,8794,276,36,0,Urban,Approved
Cotton,North,23.95,189.39,26.99,permanent_crop/PermanentCrop_379.jpg,814,312,4.194600122,2.091641818,3.273992884,Loan_313,332,737.3808577,312,277,969.4946292,Female,Yes,0,Graduate,Yes,5445,2280,317,60,0,Rural,Approved
Maize,East,47.1,126.37,30.75,permanent_crop/PermanentCrop_38.jpg,650,313,3.805842244,3.702014278,2.179921746,Loan_314,223,756.7663426,168,259,862.8024708,Male,No,3+,Not Graduate,No,7436,5933,286,36,0,Rural,Rejected
Cotton,North,46.92,448.04,21.2,permanent_crop/PermanentCrop_380.jpg,728,314,1.674776689,4.965687406,2.049551137,Loan_315,360,866.4444524,376,460,503.3534408,Female,Yes,0,Not Graduate,Yes,12448,3023,188,240,1,Semiurban,Approved
Wheat,North,51.36,445.65,24.42,permanent_crop/PermanentCrop_381.jpg,731,315,2.307480058,3.922481719,1.639539974,Loan_316,302,738.3395249,128,481,900.1758918,Female,No,2,Not Graduate,Yes,9075,8205,322,240,1,Urban,Approved
Cotton,East,78.35,328.2,15.08,permanent_crop/PermanentCrop_382.jpg,665,316,4.840115863,1.414938984,2.318712877,Loan_317,115,585.6319002,313,271,765.593742,Male,Yes,1,Graduate,Yes,2690,6373,395,12,0,Semiurban,Rejected
Rice,North,42.69,260.81,17.82,permanent_crop/PermanentCrop_383.jpg,823,317,1.719524966,3.347267551,3.219357026,Loan_318,264,631.326121,107,160,657.2981533,Female,Yes,3+,Graduate,No,12392,8913,171,240,1,Rural,Approved
Rice,South,79.73,206.19,31.68,permanent_crop/PermanentCrop_384.jpg,756,318,1.844916145,3.126460384,1.388809691,Loan_319,102,959.5722218,119,277,877.2115927,Male,Yes,2,Not Graduate,No,12996,8572,392,36,0,Urban,Approved
Cotton,West,78.19,377.48,26.3,permanent_crop/PermanentCrop_385.jpg,658,319,3.266954599,2.269656967,4.173732625,Loan_320,194,638.6742541,461,175,660.234127,Male,Yes,1,Not Graduate,No,3205,6194,181,36,0,Semiurban,Rejected
Wheat,West,37.39,342.48,34.43,permanent_crop/PermanentCrop_386.jpg,846,320,1.483815765,2.53368757,1.435755805,Loan_321,184,624.4473431,423,226,659.8916844,Male,Yes,0,Not Graduate,No,11899,7429,192,60,1,Urban,Approved
Rice,East,45.99,469.93,28.4,permanent_crop/PermanentCrop_387.jpg,761,321,4.002342758,4.813683015,1.068037838,Loan_322,109,949.8948994,194,480,990.5700795,Female,Yes,0,Not Graduate,No,5792,3051,185,12,0,Rural,Approved
Wheat,South,76.03,190.33,32.29,permanent_crop/PermanentCrop_388.jpg,808,322,2.053503979,1.976500642,4.294188458,Loan_323,123,566.5772263,487,264,549.4072157,Female,No,0,Not Graduate,No,5550,2846,392,240,0,Urban,Rejected
Cotton,East,33.17,476.5,28.91,permanent_crop/PermanentCrop_389.jpg,834,323,1.232372483,3.874017588,4.532940875,Loan_324,464,768.8471496,453,234,626.7559763,Male,Yes,0,Not Graduate,No,4957,9897,375,240,0,Rural,Rejected
Maize,South,30.14,276.81,27.7,permanent_crop/PermanentCrop_39.jpg,654,324,3.119924437,2.465069588,3.30479368,Loan_325,100,840.3708916,449,224,949.7000082,Male,Yes,0,Graduate,Yes,11916,472,89,60,1,Semiurban,Rejected
Maize,South,36.92,176.55,24.6,permanent_crop/PermanentCrop_390.jpg,710,325,2.195711522,3.07084398,2.926832474,Loan_326,174,525.1701302,395,305,902.4853483,Female,No,0,Graduate,Yes,14453,1242,236,120,1,Semiurban,Rejected
Rice,West,61.56,291.11,23.48,permanent_crop/PermanentCrop_391.jpg,721,326,4.617891692,1.806406215,1.99196643,Loan_327,355,832.2768327,279,329,805.7038423,Female,No,1,Not Graduate,Yes,14344,7899,77,36,1,Urban,Rejected
Barley,South,73.57,203.43,34.58,permanent_crop/PermanentCrop_392.jpg,805,327,3.057390082,3.264594406,1.006113529,Loan_328,451,611.3010153,347,434,501.9705699,Male,No,2,Not Graduate,Yes,2920,6784,356,120,1,Semiurban,Approved
Maize,South,21.02,425.23,22.43,permanent_crop/PermanentCrop_393.jpg,688,328,3.943448474,2.910813178,1.432011641,Loan_329,417,501.3588067,133,258,817.483224,Female,No,2,Graduate,Yes,10969,8148,454,120,1,Semiurban,Rejected
Barley,East,23.81,417.28,17.03,permanent_crop/PermanentCrop_394.jpg,749,329,1.176941982,1.822942307,4.519300735,Loan_330,429,889.7927791,196,385,675.7671267,Female,Yes,0,Not Graduate,Yes,8115,6731,76,12,1,Rural,Approved
Cotton,North,20.08,259.01,33.47,permanent_crop/PermanentCrop_395.jpg,715,330,4.893564212,4.814061107,2.896115419,Loan_331,321,557.6225868,209,309,617.9721352,Female,No,2,Graduate,Yes,4511,8631,141,36,1,Urban,Rejected
Barley,West,36.76,453.3,19.64,permanent_crop/PermanentCrop_396.jpg,780,331,1.398897294,2.275145171,1.119597452,Loan_332,185,902.4014655,269,394,762.3665396,Female,No,1,Not Graduate,Yes,8351,9389,180,60,1,Semiurban,Rejected
Maize,East,60.28,221.26,31.99,permanent_crop/PermanentCrop_397.jpg,814,332,1.925146706,2.851384114,3.416757576,Loan_333,366,590.8021266,188,183,570.749915,Male,No,2,Graduate,No,6293,7591,448,36,0,Rural,Approved
Maize,North,61.13,494.2,32.5,permanent_crop/PermanentCrop_398.jpg,658,333,1.731971608,1.011638201,4.272985465,Loan_334,274,714.3081277,114,411,668.7338929,Male,No,1,Not Graduate,No,9879,7606,413,36,0,Rural,Approved
Cotton,West,58.07,146.49,27.94,permanent_crop/PermanentCrop_399.jpg,654,334,3.129448457,4.114126484,1.341866946,Loan_335,395,813.2939512,204,489,700.3028168,Female,Yes,1,Graduate,No,12528,8981,55,60,1,Semiurban,Approved
Wheat,East,51.25,380.75,25.99,permanent_crop/PermanentCrop_4.jpg,712,335,1.36478592,4.953861767,2.531425471,Loan_336,316,951.9469875,199,468,997.3177932,Male,No,1,Not Graduate,Yes,6576,8541,377,60,0,Urban,Approved
Cotton,North,60.11,483.82,22.91,permanent_crop/PermanentCrop_40.jpg,726,336,3.486792674,2.492681315,1.80264138,Loan_337,422,880.3348417,184,264,548.5101308,Male,Yes,3+,Not Graduate,No,12958,6311,199,12,1,Rural,Rejected
Barley,North,22.17,108.57,21.01,permanent_crop/PermanentCrop_400.jpg,753,337,2.854328498,2.660958752,2.662952539,Loan_338,168,862.5463,356,332,527.9467235,Male,No,3+,Graduate,Yes,3108,4651,102,120,1,Rural,Rejected
Wheat,North,58.51,429.72,25.2,permanent_crop/PermanentCrop_401.jpg,804,338,1.493419925,2.769049902,4.525786111,Loan_339,292,868.184644,160,226,597.9899912,Male,No,2,Not Graduate,Yes,11351,3558,340,12,0,Semiurban,Approved
Cotton,South,60.43,271.63,25.99,permanent_crop/PermanentCrop_402.jpg,778,339,2.957715883,4.293549005,3.832705253,Loan_340,162,756.3838644,230,398,676.2078459,Female,No,1,Graduate,Yes,14001,7506,376,240,0,Semiurban,Rejected
Maize,East,36.87,261.93,27,permanent_crop/PermanentCrop_403.jpg,676,340,4.648424536,2.737904132,4.918985689,Loan_341,283,827.3805345,178,373,656.8698377,Male,Yes,2,Not Graduate,Yes,7037,4871,244,60,1,Urban,Approved
Maize,South,61.27,257.04,16.17,permanent_crop/PermanentCrop_404.jpg,767,341,3.551860668,2.253613596,2.072679734,Loan_342,498,974.9926326,427,461,516.6060802,Female,No,0,Graduate,No,12779,4121,263,240,1,Rural,Approved
Rice,South,35.79,222.2,23.14,permanent_crop/PermanentCrop_405.jpg,723,342,3.089969238,2.585611386,2.160914041,Loan_343,134,868.3850012,217,363,826.6872047,Female,No,1,Not Graduate,Yes,12659,4917,168,120,1,Urban,Approved
Maize,East,29.95,456.8,30.11,permanent_crop/PermanentCrop_406.jpg,691,343,3.231387381,1.352208772,4.289079135,Loan_344,411,847.8439714,185,202,591.5351503,Male,No,0,Not Graduate,Yes,7084,3415,68,240,0,Semiurban,Approved
Wheat,West,35.14,362.48,20.88,permanent_crop/PermanentCrop_407.jpg,677,344,1.093440245,1.049484441,1.163790336,Loan_345,105,526.5340244,101,320,982.6135287,Female,Yes,3+,Not Graduate,Yes,2814,2372,432,36,1,Rural,Rejected
Rice,North,52.89,392.24,21.02,permanent_crop/PermanentCrop_408.jpg,818,345,1.827137712,2.883007645,4.468589476,Loan_346,242,951.5482917,400,377,751.5615255,Female,No,0,Graduate,Yes,12044,7355,478,60,1,Semiurban,Rejected
Barley,West,62.2,326.52,26.45,permanent_crop/PermanentCrop_409.jpg,665,346,4.972716338,4.454453068,4.478541141,Loan_347,106,865.8896104,239,419,918.4355971,Male,Yes,3+,Not Graduate,No,10129,9343,399,120,0,Semiurban,Rejected
Maize,South,48.31,101,30.52,permanent_crop/PermanentCrop_41.jpg,749,347,2.982793933,4.084032153,2.843724218,Loan_348,139,955.7744377,265,473,596.148007,Female,Yes,0,Not Graduate,Yes,9098,5553,451,36,1,Semiurban,Approved
Maize,West,24.25,496.27,18.35,permanent_crop/PermanentCrop_410.jpg,707,348,2.630559385,3.912189872,1.713651492,Loan_349,315,963.7928437,232,242,776.7545381,Male,No,0,Not Graduate,No,13475,110,470,36,1,Urban,Rejected
Cotton,North,52.62,345.72,31.45,permanent_crop/PermanentCrop_411.jpg,786,349,1.448600912,1.507504476,2.425891453,Loan_350,361,603.4928736,342,363,647.0880602,Female,No,3+,Not Graduate,No,8913,5911,333,240,0,Urban,Approved
Rice,West,61.42,130.01,24.35,permanent_crop/PermanentCrop_412.jpg,664,350,2.987384918,3.786983858,4.385168813,Loan_351,255,794.4867188,470,258,537.0600432,Female,Yes,1,Graduate,Yes,12116,3076,130,60,0,Rural,Rejected
Maize,South,24.23,269.08,20.87,permanent_crop/PermanentCrop_413.jpg,817,351,4.958825762,4.537679313,3.98723226,Loan_352,185,591.0277271,466,190,992.7650805,Female,No,1,Not Graduate,No,13750,9538,137,12,1,Rural,Approved
Wheat,East,52.52,181.79,27.19,permanent_crop/PermanentCrop_414.jpg,754,352,1.438819693,4.470664726,4.265642364,Loan_353,121,693.3336374,471,232,701.2794896,Male,No,0,Not Graduate,Yes,6902,6941,231,240,0,Semiurban,Approved
